iter	Logloss
0	0.691362491
1	0.6897885539
2	0.6880648405
3	0.6863507856
4	0.6845553568
5	0.6828056999
6	0.6811788899
7	0.6799018942
8	0.6782415285
9	0.6766299208
10	0.6754084907
11	0.6737628286
12	0.672417113
13	0.6706824664
14	0.6690351134
15	0.6674303985
16	0.6658216695
17	0.6646162804
18	0.662944158
19	0.6613438701
20	0.6597271135
21	0.6581133333
22	0.6564132545
23	0.6550658565
24	0.6534461443
25	0.6522082971
26	0.650820526
27	0.6492100237
28	0.647886139
29	0.6463297425
30	0.6448389876
31	0.643232991
32	0.6417115459
33	0.6402067994
34	0.6390396695
35	0.6375792729
36	0.6360186042
37	0.6343835267
38	0.6329623095
39	0.6315404626
40	0.6300793347
41	0.6287293665
42	0.6273059604
43	0.6258788332
44	0.6243809113
45	0.6229671829
46	0.62153724
47	0.6200334593
48	0.6187063368
49	0.6172335976
50	0.6158250019
51	0.6146386654
52	0.6131164691
53	0.6117434431
54	0.6104318162
55	0.6091395656
56	0.6077622073
57	0.6064791286
58	0.6054240552
59	0.6039820592
60	0.6025924731
61	0.6012617309
62	0.5999257064
63	0.5985616794
64	0.5972022601
65	0.5957762374
66	0.5944371244
67	0.5931441501
68	0.5918946656
69	0.5905928856
70	0.5892729159
71	0.5880448954
72	0.5867378333
73	0.5854548856
74	0.5841694676
75	0.5828281318
76	0.5815864189
77	0.5803150916
78	0.5791227034
79	0.5778674603
80	0.5767216329
81	0.5754427741
82	0.5741096878
83	0.5729287876
84	0.5717074133
85	0.5703756185
86	0.5691748897
87	0.5679796313
88	0.5667892075
89	0.5656292747
90	0.5645164905
91	0.5633196772
92	0.5620662217
93	0.5609568637
94	0.5598700868
95	0.5587838779
96	0.557682573
97	0.5565480037
98	0.5554058135
99	0.5543037899
100	0.5531445401
101	0.552008732
102	0.550979169
103	0.5499144709
104	0.5488315905
105	0.5477837308
106	0.5466909637
107	0.5455178209
108	0.5444813648
109	0.5434156486
110	0.5423312131
111	0.5413136516
112	0.540245422
113	0.5392286565
114	0.5382140386
115	0.5371700851
116	0.5361488268
117	0.5350717348
118	0.5342569333
119	0.5332507568
120	0.5322420416
121	0.5311829737
122	0.5302350935
123	0.5291411693
124	0.5284521677
125	0.5274763771
126	0.5266255955
127	0.5256454514
128	0.5246979393
129	0.5237059292
130	0.5227228164
131	0.5217509914
132	0.5207865922
133	0.5200436065
134	0.5191088537
135	0.5181177257
136	0.5171657081
137	0.5165624494
138	0.5155519571
139	0.5145938769
140	0.5136006926
141	0.5127495584
142	0.5118569842
143	0.5112480457
144	0.5103800934
145	0.5095010646
146	0.5086481991
147	0.5077682913
148	0.5069340203
149	0.5060515122
150	0.5051476116
151	0.5042923105
152	0.5034216239
153	0.5025395306
154	0.5016718892
155	0.5007824447
156	0.49994831
157	0.4991316854
158	0.4982405671
159	0.4974057462
160	0.4965576757
161	0.4956578032
162	0.4948848938
163	0.4941009182
164	0.4932665134
165	0.4924424264
166	0.4916526973
167	0.4908431125
168	0.4901280422
169	0.489321094
170	0.4886278677
171	0.4878014105
172	0.4870296075
173	0.4862642292
174	0.4855084689
175	0.4848144549
176	0.4840488056
177	0.4832556975
178	0.4824762525
179	0.4816825227
180	0.4809482556
181	0.4801513754
182	0.4794035952
183	0.4786948915
184	0.4781360528
185	0.477376614
186	0.4766728379
